Date,HebrewDate,Status,Description
2026-09-01,י"ט באלול תשפ"ו,Regular,פתיחת שנת הלימודים תשפ"ז
2026-09-11,כ"ט באלול תשפ"ו,Holiday,ערב ראש השנה
2026-09-12,א' בתשרי תשפ"ז,Holiday,ראש השנה - יום א'
2026-09-13,ב' בתשרי תשפ"ז,Holiday,ראש השנה - יום ב'
2026-09-14,ג' בתשרי תשפ"ז,Special Day,צום גדליה
2026-09-20,ט' בתשרי תשפ"ז,Holiday,ערב יום כיפור
2026-09-21,י' בתשרי תשפ"ז,Holiday,יום כיפור
2026-09-25,י"ד בתשרי תשפ"ז,Holiday,ערב סוכות
2026-09-26,ט"ו בתשרי תשפ"ז,Holiday,חג סוכות
2026-09-27,ט"ז בתשרי תשפ"ז,Holiday,חול המועד סוכות
2026-09-28,י"ז בתשרי תשפ"ז,Holiday,חול המועד סוכות
2026-09-29,י"ח בתשרי תשפ"ז,Holiday,חול המועד סוכות
2026-09-30,י"ט בתשרי תשפ"ז,Holiday,חול המועד סוכות
2026-10-01,כ' בתשרי תשפ"ז,Holiday,חול המועד סוכות
2026-10-02,כ"א בתשרי תשפ"ז,Holiday,הושענא רבה / ערב שמחת תורה
2026-10-03,כ"ב בתשרי תשפ"ז,Holiday,שמיני עצרת / שמחת תורה
2026-10-04,כ"ג בתשרי תשפ"ז,Holiday,אסרו חג סוכות
2026-10-23,י"ב בחשוון תשפ"ז,Special Day,יום הזיכרון ליצחק רבין
2026-12-04,כ"ה בכסלו תשפ"ז,Holiday,חנוכה - נר ראשון
2026-12-05,כ"ו בכסלו תשפ"ז,Holiday,חנוכה - יום א'
2026-12-06,כ"ז בכסלו תשפ"ז,Holiday,חנוכה - יום ב'
2026-12-07,כ"ח בכסלו תשפ"ז,Holiday,חנוכה - יום ג'
2026-12-08,כ"ט בכסלו תשפ"ז,Holiday,חנוכה - יום ד'
2026-12-09,א' בטבת תשפ"ז,Holiday,חנוכה - יום ה'
2026-12-10,ב' בטבת תשפ"ז,Holiday,חנוכה - יום ו'
2026-12-11,ג' בטבת תשפ"ז,Holiday,חנוכה - יום ז'
2026-12-12,ד' בטבת תשפ"ז,Holiday,אסרו חג חנוכה
2026-12-20,י"א בטבת תשפ"ז,Special Day,צום עשרה בטבת
2027-01-25,י"ז בשבט תשפ"ז,Regular,יום השפה העברית
2027-02-02,כ"ה בשבט תשפ"ז,Special Day,ט"ו בשבט - חג האילנות
2027-03-21,י"ב באדר ב' תשפ"ז,Holiday,תענית אסתר / פורים שני
2027-03-22,י"ג באדר ב' תשפ"ז,Holiday,חג פורים
2027-03-23,י"ד באדר ב' תשפ"ז,Holiday,שושן פורים
2027-04-14,ז' בניסן תשפ"ז,Holiday,חופשת פסח - יום א'
2027-04-15,ח' בניסן תשפ"ז,Holiday,חופשת פסח - יום ב'
2027-04-16,ט' בניסן תשפ"ז,Holiday,חופשת פסח - יום ג'
2027-04-17,י' בניסן תשפ"ז,Holiday,חופשת פסח - יום ד'
2027-04-18,י"א בניסן תשפ"ז,Holiday,חופשת פסח - יום ה'
2027-04-19,י"ב בניסן תשפ"ז,Holiday,חופשת פסח - יום ו'
2027-04-20,י"ג בניסן תשפ"ז,Holiday,ערב פסח
2027-04-21,י"ד בניסן תשפ"ז,Holiday,פסח - יום א' (חג ראשון)
2027-04-22,ט"ו בניסן תשפ"ז,Holiday,חול המועד פסח
2027-04-23,ט"ז בניסן תשפ"ז,Holiday,חול המועד פסח
2027-04-24,י"ז בניסן תשפ"ז,Holiday,חול המועד פסח
2027-04-25,י"ח בניסן תשפ"ז,Holiday,חול המועד פסח
2027-04-26,י"ט בניסן תשפ"ז,Holiday,חול המועד פסח
2027-04-27,כ' בניסן תשפ"ז,Holiday,שביעי של פסח
2027-04-28,כ"א בניסן תשפ"ז,Holiday,אסרו חג פסח
2027-05-04,כ"ו בניסן תשפ"ז,Special Day,יום הזיכרון לשואה ולגבורה
2027-05-11,ד' באייר תשפ"ז,Special Day,יום הזיכרון לחללי מערכות ישראל
2027-05-12,ה' באייר תשפ"ז,Holiday,יום העצמאות
2027-05-25,י"ח באייר תשפ"ז,Special Day,ל"ג בעומר
2027-06-02,כ"ו באייר תשפ"ז,Special Day,יום ירושלים
2027-06-10,ה' בסיוון תשפ"ז,Holiday,ערב שבועות
2027-06-11,ו' בסיוון תשפ"ז,Holiday,חג השבועות
2027-06-12,ז' בסיוון תשפ"ז,Holiday,אסרו חג שבועות
2027-06-20,ט"ו בסיוון תשפ"ז,Regular,יום שיא למדעים וטכנולוגיה
2027-06-30,כ"ה בסיוון תשפ"ז,Regular,מסיבת סיום ושנה טובה!
