Date,HebrewDate,Status,Description
01/09/2026,"י""ט באלול תשפ""ו",,
02/09/2026,"כ' באלול תשפ""ו",,
03/09/2026,"כ""א באלול תשפ""ו",,
04/09/2026,"כ""ב באלול תשפ""ו",,
05/09/2026,"כ""ג באלול תשפ""ו",,
06/09/2026,"כ""ד באלול תשפ""ו",,
07/09/2026,"כ""ה באלול תשפ""ו",,
08/09/2026,"כ""ו באלול תשפ""ו",,
09/09/2026,"כ""ז באלול תשפ""ו",,
10/09/2026,"כ""ח באלול תשפ""ו",,
11/09/2026,"כ""ט באלול תשפ""ו",חופשה,ראש השנה
12/09/2026,"א' בתשרי תשפ""ז",חופשה,ראש השנה
13/09/2026,"ב' בתשרי תשפ""ז",חופשה,ראש השנה
14/09/2026,"ג' בתשרי תשפ""ז",,צום גדליה
15/09/2026,"ד' בתשרי תשפ""ז",,
16/09/2026,"ה' בתשרי תשפ""ז",,
17/09/2026,"ו' בתשרי תשפ""ז",,
18/09/2026,"ז' בתשרי תשפ""ז",,
19/09/2026,"ח' בתשרי תשפ""ז",,
20/09/2026,"ט' בתשרי תשפ""ז",חופשה,יום הכיפורים
21/09/2026,"י' בתשרי תשפ""ז",חופשה,יום הכיפורים
22/09/2026,"י""א בתשרי תשפ""ז",חופשה,"חופשה בין יוה""כ לסוכות"
23/09/2026,"י""ב בתשרי תשפ""ז",חופשה,"חופשה בין יוה""כ לסוכות"
24/09/2026,"י""ג בתשרי תשפ""ז",חופשה,"חופשה בין יוה""כ לסוכות"
25/09/2026,"י""ד בתשרי תשפ""ז",חופשה,חג הסוכות
26/09/2026,"ט""ו בתשרי תשפ""ז",חופשה,חג הסוכות
27/09/2026,"ט""ז בתשרי תשפ""ז",חופשה,חג הסוכות
28/09/2026,"י""ז בתשרי תשפ""ז",חופשה,חג הסוכות
29/09/2026,"י""ח בתשרי תשפ""ז",חופשה,חג הסוכות
30/09/2026,"י""ט בתשרי תשפ""ז",חופשה,חג הסוכות
01/10/2026,"כ' בתשרי תשפ""ז",חופשה,חג הסוכות
02/10/2026,"כ""א בתשרי תשפ""ז",חופשה,חג הסוכות
03/10/2026,"כ""ב בתשרי תשפ""ז",חופשה,חג הסוכות
04/10/2026,"כ""ג בתשרי תשפ""ז",,
05/10/2026,"כ""ד בתשרי תשפ""ז",,יום הזיכרון הלאומי ל-7 באוקטובר
06/10/2026,"כ""ה בתשרי תשפ""ז",,
07/10/2026,"כ""ו בתשרי תשפ""ז",,
08/10/2026,"כ""ז בתשרי תשפ""ז",,
09/10/2026,"כ""ח בתשרי תשפ""ז",,
10/10/2026,"כ""ט בתשרי תשפ""ז",,
11/10/2026,"ל' בתשרי תשפ""ז",,
12/10/2026,"א' בחשוון תשפ""ז",,
13/10/2026,"ב' בחשוון תשפ""ז",,
14/10/2026,"ג' בחשוון תשפ""ז",,
15/10/2026,"ד' בחשוון תשפ""ז",,
16/10/2026,"ה' בחשוון תשפ""ז",,
17/10/2026,"ו' בחשוון תשפ""ז",,
18/10/2026,"ז' בחשוון תשפ""ז",,
19/10/2026,"ח' בחשוון תשפ""ז",,
20/10/2026,"ט' בחשוון תשפ""ז",,
21/10/2026,"י' בחשוון תשפ""ז",,
22/10/2026,"י""א בחשוון תשפ""ז",,יום פטירת רחל אמנו
23/10/2026,"י""ב בחשוון תשפ""ז",,
24/10/2026,"י""ג בחשוון תשפ""ז",,
25/10/2026,"י""ד בחשוון תשפ""ז",,
26/10/2026,"ט""ו בחשוון תשפ""ז",,
